,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
GE,8,59,33,9,5,0,0,386,13,9,1867,37,409,5,25,2,0,27,2,5,12,11,0,13,2,56,1,5,2,8,5,0,101,0,31,479,44,10,8,74,1,103,0,156,88,1,0,31,25,10,0,0,102,1,0,2,0,0,0,10,0,4,16,0,3,0,4,312,13,24,2,412,93,108,21,8,7,6,6,29,208,34,311,0,0,270,0,172,31,1,6,25,46,16,19,0,18,1,45,0,0,50,19646,0,1041,122,128,0,32,0,3,2,89,192,46,3,0,0,1,236,1,0,0,39,5,0,12,0,2,215,57,7,13,2,9,0,19,0,6,1,11,0,0,7,15,2,3,0,1,61,27,421,0,8,1,13,15,2,27,0,8,10,3,72,4155,27,0,0,10,594,0,29,35,0,672,42,138,688,0,4,20,242,17,2,0,17,1,8,3,115,26,27,9,3,0,5,1,65,0,3,0,1,5,1,39,1,144,8,0,5,57,2,21,88,25,42,30,195,0,5,190,10,2,0,2,0,0,3,8,362,84,1,2,1,226,7,4,21,0,0,68,37,0,0,35,0,12,4,0,12
DZ,42,12,3361,7,15,0,0,136,7,435,23,33119,1216,23,40,12,1,139,10,15,61,30,0,39,4,120,14,1,0,5,22,0,204,0,73,6088,103,74,26,242,1,147,23,266,1653,0,0,29,27,8,5,0,970,0,0,14,0,2,15,11,0,506,441,0,3,0,2,660,7,296,89,312,187,129,68,38,207,0,10,13,230,597,755,0,0,750,0,169,27,1,38,66,133,9,112,0,42,30,18,0,0,804,8321,1,1744,9612,436,3,28,0,49,6,678,445,167,8,0,1,5,560,1,1,0,33,12,5,26,1,1,400,334,7,212,4,17,0,26,2,11,2,23,4,2,28,87,4,3,0,0,9,1098,616,1,38,5,43,51,12,16,30,16,24,3,62,9458,9,14,9,3,2923,0,43,183,0,1363,181,131,766,0,48,48,310,735,2,0,32,4,23,5,315,128,64,41,3,0,21,5,129,0,9,0,12,1,3,261,0,828,17,0,6,60,14,1230,12367,19,126,17,745,0,24,2681,623,28,0,0,0,0,1,515,1283,72,5,13,1,1157,5,20,52,4,8,240,67,7,0,63,0,17,11,0,22
TR,333,47,1744,31,49,0,0,1877,35,230,880,1752,2205331,590,85,35,10,850,34,68,645,78,0,256,271,197,131,99,33,35,155,0,2673,0,86,12052,212,344,108,2477,14,6799,74,1823,2567,108,5,235,92,96,78,0,3354,8,0,31,7,4,130,455,0,368,1448,0,151,0,147,26056,494,544,153,10519,1785,616,437,445,415,373,218,48,1135,922,3446,0,0,3638,0,1304,383,19,127,498,761,111,349,0,306,121,5959,0,0,2146,56530,26,17927,975,3895,37,140,0,164,32,14511,2148,568,35,0,16,13,5695,12,21,0,425,44,23,1361,183,458,2648,1744,50,522,154,233,22,194,8,47,5,76,8,37,157,4354,24,3,0,12,24,1883,5865,11,341,60,386,183,121,185,77,357,313,226,728,28491,20,74,24,76,5554,0,7658,4522,2,6083,654,427,4810,0,129,497,1376,654,11,0,46,71,846,33,2545,3122,131,110,89,0,62,8,2208,0,50,0,179,15,71,1164,15,4654,199,0,4,484,146,3106,5150,902,1284,288,1671,0,350,4479,963,126,0,17,7,0,234,948,5575,742,607,80,25,3740,84,176,148,14,19,1098,764,26,0,1503,0,225,13,6,228
MK,9,2,18,0,1,0,0,31,2,5,11,24,593,8022,5,48,0,21,2,0,104,0,0,15,3,57,1,0,0,0,1,0,33,0,1,174,34,4,1,57,18,57,4,29,87,0,1,5,2,0,4,0,208,1,0,2,2,0,3,3,0,5,9,0,3,0,1,291,1,8,1,84,25,39,36,5,13,0,6,3,161,16,188,0,0,82,0,867,11,0,19,14,14,3,13,0,95,2,11,0,0,16,3722,0,585,38,24,0,3,0,5,0,386,42,24,0,0,2,0,137,1,0,0,13,1,0,10,1,0,162,13,1,13,2,4,0,3,2,4,0,2,0,0,0,196,6,0,0,2,4,10,103,0,1,5,8,2,4,10,2,3,31,2,26,390,6,0,1,1,182,0,56,36,0,149,14,44,174,0,0,102,48,5,0,0,4,5,5,5,102,55,9,1,2,0,6,0,515,0,1,0,3,3,1,13,0,219,2,0,0,20,5,19,95,5,34,5,124,0,6,5813,11,1,0,1,2,0,0,7,454,29,72,3,0,88,0,0,7,1,1,47,17,2,0,37,0,21,1,0,5
CD,17,13,26,13,15,0,0,38,8,10,8,42,53,4,2610,2,0,45,0,3,5,6,0,16,3,37,4,0,1,5,35,0,102,0,192,63,22,18,7,40,3,105,5,55,98,0,2,24,13,1,1,0,245,1,0,2,0,0,3,6,0,0,7,0,1,0,0,175,3,7,1,51,30,69,20,28,4,2,4,66,100,57,235,0,0,186,0,106,23,0,6,11,23,3,48,0,12,9,12,0,0,23,6884,0,891,129,462,0,13,0,29,4,216,87,44,11,0,16,1,225,0,0,0,10,5,1,12,1,1,135,101,1,22,5,33,0,9,0,54,2,2,0,12,6,3,0,1,0,0,24,8,164,0,21,3,31,26,4,10,1,8,2,0,35,2763,13,1,10,4,822,0,4,29,0,366,19,149,582,0,1,10,320,22,4,0,4,0,1,2,55,19,68,51,5,0,4,0,44,0,9,0,0,0,1,73,0,95,1,0,5,38,4,11,44,4,30,2,871,0,13,174,6,3,0,2,0,0,1,15,224,55,3,1,0,350,2,11,7,0,4,41,115,1,0,21,0,10,51,0,8
SL,11,0,3,2,3,0,0,16,2,12,11,20,50,1,2,358,0,5,0,0,3,2,0,6,0,20,3,0,0,0,1,0,19,0,1,70,27,16,0,21,0,20,1,6,16,0,0,4,2,0,3,0,1340,0,0,0,0,0,1,9,0,3,3,0,2,0,0,143,4,4,3,24,13,21,5,4,2,0,3,4,47,30,119,0,0,22,0,63,6,0,13,2,5,0,18,0,5,1,0,0,0,10,1855,1,998,13,8,0,2,0,2,0,50,29,20,2,0,0,0,49,0,0,0,3,1,0,4,0,0,60,17,0,3,1,2,0,12,9,1,0,3,0,1,1,144,1,0,0,0,0,3,70,0,1,0,13,0,2,4,0,0,5,0,1,184,3,0,0,0,130,0,3,9,0,125,28,36,86,0,1,16,32,3,2,0,11,0,2,1,67,29,2,4,1,0,1,0,123,0,0,0,1,0,0,281,1,151,1,0,1,0,31,5,43,1,12,1,77,0,2,601,4,0,0,0,0,0,0,7,55,21,0,0,0,88,1,1,0,0,0,28,30,3,0,15,0,3,1,0,4
TK,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,4,0,2,1,0,0,1,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,3,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,169,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,6,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
HU,42,12,58,13,12,0,0,163,13,36,71,178,2165,13,29,22,3,6346,3,2,89,12,0,46,8,143,8,2,0,7,24,0,188,0,29,1161,67,422,35,302,5,370,17,172,572,0,1,39,17,11,6,0,1302,2,0,8,1,2,3,20,0,57,125,0,5,0,1,1040,23,75,56,418,343,215,132,60,66,3,4,48,512,126,853,0,0,1299,0,339,52,2,51,59,66,20,129,0,62,6,70,0,0,187,23285,5,3218,4047,289,0,84,0,75,1,628,686,152,5,0,0,0,1138,0,5,0,93,10,5,38,0,2,645,249,5,39,4,24,3,23,0,14,4,33,0,5,13,34,3,11,0,0,19,223,971,1,10,1,47,91,7,53,11,20,26,6,101,2749,40,5,6,6,7015,0,55,184,1,1849,116,226,1168,0,12,58,421,28,3,0,17,3,19,1,321,178,155,11,22,0,22,3,155,0,7,0,4,4,3,416,1,1417,31,0,5,139,15,105,324,30,161,23,1033,0,33,2612,34,44,0,0,1,0,2,42,1661,204,5,14,1,2228,12,10,56,1,3,231,78,3,0,78,0,46,6,0,17
AD,67,0,2,0,0,0,0,72,0,0,0,8,6,0,1,0,0,2,828,1,1,0,0,1,0,5,0,0,0,1,1,0,12,0,0,70,3,40,4,8,0,13,0,3,664,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,1,13,0,0,0,0,44,1,7,0,149,6,11,13,30,19,0,0,0,8,4,23,0,0,328,0,6,1,0,0,0,3,0,1,0,0,0,1,0,0,8,436,0,76,25,9,0,6,0,0,0,18,157,4,0,0,0,0,38,0,0,0,3,1,0,0,0,0,17,54,0,3,1,0,1,1,0,0,0,7,0,0,1,4,0,0,0,0,0,14,16,0,1,0,1,81,1,0,1,1,1,0,2,165,0,0,0,0,38,0,2,3,0,36,7,4,21,0,0,1,5,11,0,0,0,1,1,0,6,6,2,0,1,0,16,0,3,0,0,0,0,0,0,154,0,37,4,0,0,4,2,4,12,1,3,12,36,0,0,18,4,13,0,0,0,0,0,2,1198,4,1,0,0,693,2,0,6,1,0,27,7,1,0,0,0,1,0,0,0
MR,1,3,7,0,3,0,0,63,0,3,2,34,44,0,1,0,0,2,0,205,2,0,0,2,1,2,0,0,0,0,0,0,5,0,1,342,1,5,0,17,0,5,0,7,17,0,0,4,0,1,0,0,16,0,0,1,0,0,0,0,0,6,18,0,0,0,0,23,0,16,0,231,6,2,1,2,3,0,1,0,5,13,31,0,0,9,0,7,2,0,0,0,1,1,0,0,0,5,0,0,0,36,238,0,50,15,2,0,1,0,0,0,20,2,12,0,0,0,0,22,1,0,0,3,0,0,0,1,0,21,5,0,7,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,1,26,16,0,3,0,0,0,3,1,0,2,1,0,8,135,0,0,0,1,97,0,3,5,0,60,5,2,21,0,0,1,10,8,0,0,1,0,2,0,13,5,2,7,0,0,1,0,6,0,0,0,0,0,0,4,0,22,1,0,0,2,0,7,42,2,5,10,129,0,0,17,17,0,0,4,0,0,0,11,62,1,0,0,0,49,0,2,1,0,0,4,1,0,0,1,0,0,0,0,3
RS,22,4,15,1,17,0,0,122,2,8,16,52,706,283,7,4,0,68,1,2,35222,8,0,31,4,58,7,0,0,5,49,0,183,0,3,76,12,39,14,172,1,162,5,124,156,0,0,23,7,1,0,0,195,0,0,8,1,1,6,18,0,33,20,0,0,0,4,524,3,3,14,545,239,95,43,34,6,0,12,8,631,55,345,0,0,330,0,109,14,1,10,30,34,3,8,0,43,34,3,0,0,129,5280,0,1318,811,85,0,20,0,21,2,289,164,242,4,0,4,0,721,0,0,0,62,13,1,410,0,1,355,362,1,10,1,15,0,13,0,10,0,40,0,1,65,23,10,4,0,3,0,49,388,0,7,0,21,11,7,15,19,74,13,0,25,1797,1,3,1,8,20607,0,118,98,0,695,80,69,455,0,384,175,107,14,2,0,2,8,9,36,190,204,21,3,15,0,89,1,147,0,0,0,1038,1,2,99,0,222,10,0,0,41,6,20,92,6,145,21,341,0,8,163,21,24,0,2,0,0,0,15,734,77,55,23,6,271,4,2,30,2,1,101,19,0,0,1343,0,30,14,1,2
LT,1,0,5,0,0,0,0,239,2,1,15,6,42,1,4,0,0,10,0,4,18,595,0,11,2,6,1,0,0,0,3,0,6,0,0,31,2,7,2,13,0,57,0,57,12,0,0,5,2,3,0,0,60,0,0,0,0,0,0,0,0,29,12,0,0,0,0,127,0,1,0,271,76,33,6,4,1,0,1,4,44,12,84,0,0,31,0,12,2,0,1,9,12,3,3,0,8,0,8,0,0,14,1064,1,405,28,39,0,3,0,0,0,45,24,17,0,0,0,0,74,1,0,0,16,0,0,4,1,0,69,31,1,6,0,1,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,22,70,0,3,0,2,3,0,2,0,1,2,0,26,202,1,0,0,9,256,0,5,21,0,210,10,12,215,0,3,2,16,2,0,0,0,1,5,0,61,8,3,1,0,0,5,0,25,0,1,0,1,0,0,28,0,97,7,0,0,14,0,5,33,33,24,38,67,0,0,67,1,1,0,0,0,0,2,1,227,26,0,2,0,69,3,1,7,0,0,25,2,1,0,1,0,4,0,0,0
UM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,20,4,17,2,4,0,0,129,8,6,13,51,410,14,13,3,4,47,0,2,36,14,0,4341,4,42,10,1,4,2,10,0,77,0,5,118,24,32,8,42,1,125,7,220,150,0,0,13,5,7,2,0,722,1,0,4,1,1,4,10,0,4,22,0,1,0,2,370,2,18,10,496,308,132,36,34,6,2,4,1,221,58,922,0,0,421,0,165,87,0,19,53,40,9,33,0,28,3,19,0,0,50,5023,1,1106,532,123,0,22,0,40,0,476,454,137,1,0,1,1,320,0,2,0,40,5,3,18,0,0,293,167,3,23,1,13,1,8,0,4,0,18,2,3,6,11,3,2,0,0,6,19,340,0,9,2,26,27,8,15,1,6,16,1,59,1240,8,2,11,5,1226,0,55,72,0,2543,193,131,458,0,9,21,89,10,0,0,4,2,21,2,166,56,9,3,14,0,15,0,67,0,4,0,8,1,1,98,2,550,2,0,3,56,18,28,160,46,79,47,1089,0,8,2495,25,9,0,2,1,0,2,16,632,78,10,3,0,439,6,5,54,1,2,131,35,0,0,32,0,28,2,0,10
